indexA,indexB,tweet,info_type,urgency_level
6,45,@user up manila admin &amp; officials will monitor rain&amp;flood situation til 4am. announcements will be made at the latest 5 ...,Disaster development,0.0
9,54,@user pagasa 5pm advisory: green warning for metro manila. heavy-intense rains in next 3 hrs. threat of floods in low-lying are ...,Disaster development,0.0
12,118,"if floods end up banging up my manila badly, considering running charity shirt drive. @user @user game?",Aid,0.0
14,119,@user pagasa 11:30pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods ...,Disaster development,0.0
18,130,"@user flood alert: san marcelino taft ayala, manila, as of 6:37am not passable to all types of vehicles | via @mmda",Infrustructure development,0.0
22,51,"@user use #rescueph hashtag to allow all media outlets to monitor tweets related to the floods, rescue operations. thanks!",Logistical ,0.0
24,147,philippine capital hit by floods,Disaster development,0.0
32,77,@user ingat kayo dyan if you need to be rescued tweet mo lang @user or #rescueph,Logistical ,0.0
35,58,grabe! t_t rt @user urgent - help is needed in ust hospital. flood has reached the building's 2nd level. #rescueph,Specific Rescue,1.0
45,122,@user sos!ust hospital flood now on the 2/f.no food for the patients &amp; staff. please rt! #rescue5 #rescueph @mmda,Specific Rescue,1.0
49,5,@user flooding chaos in philippine's capital: flood waters were rising in parts of the philippine capital on tuesday a... http:/ ...,Disaster update,0.0
55,137,rescue database #rescueph,Logistical ,0.0
58,100,consolidated list of people who need rescuing. #rescueph,Logistical,0.0
61,95,"@user heard that floods in manila are up to the neck, many people are in danger. please stay safe, praying for you #prayfort ...",nan,0.0
64,30,@user animal rescue hotline: 817-5292. do not leave your pets behind. #rescueph,Animals,0.0
67,62,@user flood in the ust hospital is now on the 2nd floor. no food for the patients &amp; staff. pls. help! #rescueph @user ,"General Rescue, Food",1.0
69,94,flood can harm animals just as easily as it can harm people!place horses to safer place &amp; not take advantage for money from this! #rescueph,Animals,0.0
72,15,please retweet! teenager stranded in his house 8 st catherine street provident vill mrkna #rescueph #prayforthephilippines,Specific Rescue,1.0
78,42,@user all donations brought to lbc will be sent to ph red cross evacuation centers /via @user #reliefph,Aid,0.0
83,89,"please rt! a certain rodrigo salvador is need of rescue. he is with 6 kids, 9 others. 184 kaliraya st., cluster 12, tatalon #rescueph",Specific Rescue,1.0
86,75,"@user those who need rescue, put a white blanket on roof of house or out your window so rescuers can see you.  #rescueph",Informational,0.0
90,19,@user rt pls @user #reliefph all ayala malls accepting donations 4 flood victims.just go to concierge booths in ayala malls ...,"Aid, Food",0.0
92,104,"@user smart subs, in case you run out of load. you get a lifeline of few more texts... simply dial *767 (*sos) #rescueph",Informational,0.0
96,49,@user @user flood in ust hospital is now on the 2nd floor. no food for the patients n staff #rescueph @user ,"Specific Rescue, Food",1.0
97,115,"@user @user drinking water needed for 20-30 ppl at #177 rp palad st, moras dela paz, sto tomas,pampanga #rescueph #reliefph",Water,1.0
113,35,"@user aliza libunao, 9 adults +1 child, 635 g. araneta ave. tatalon, q.c. 09268752213 #rescueph stranded on 3rd flr, flood  ...",Specific Rescue,1.0
114,111,@user if you see animals or pets in need of rescue please contact peta. call 817-5292. thank you. #rescueph #floodmnl pls rt,Animals. Logistical,0.0
121,81,please rt. kindly course your donations through st.scholastica's college manila  hotline: 567-7686 to 89 #rescueph,Aid,0.0
123,142,@user saludo kami sa mga #rescueph team at sa mga volunteers. ndi pa sila kumakain pero deadma basta makatulong. #bayanihan,Foreign Language,0.0
124,145,"@user anyone near ust hospital? they need help badly. 2nd floor is flooded, patients &amp; staff have no food. #rescueph","Specific Rescue, Food",1.0
136,131,@user hi @user can every tweet with hashtag #rescueph be a $1 donation to the philippines victims? - pls retweet this until ...,Aid,0.0
142,88,the u.s. embassy here in manila looks like it is floating above the flood. it has been two weeks and the hea,"Informationa, Disaster Update",0.0
143,83,"@user anyone from malabon? pls help preggy joann fernandez, kids needing immediate #rescueph at kaingin 2 st. tenejeros, mala ...",Specific Rescue,1.0
149,143,@user ust hospital food shortage @user #rescueph,"Specific Rescue, Food",1.0
151,141,torrential rains pounding the philippine capital on tuesday paralyzed traffic as waist-deep floods triggered...,"Informational, Disaster Update",0.0
153,90,"aerial view of manila flood aug 7th, 2012 (please help): via @user from mikey bustos",Specific Rescue,0.0
154,63,"@user #rescueph rescue needed gigi asuncion &amp; family (incl.1 yr old baby) &amp; 70 y/o dad. 507 kamagong st, st josep ...",Specific Rescue,1.0
157,57,does tweeting the contact details w hashtag #rescueph actually help? is there a number i can text to report people in danger?,Inquiry,0.0
164,18,@user @user rt pls. #rescueph our warehouse caretaker in roda compound concepcion uno brgy.tumana is alone on the  ...,Specific Rescue,1.0
170,68,#rescueph 1000 tv channels on your cell phone? fufu,nan,0.0
180,117,#rescueph the easiest way to get tv on your phone? fufu,nan,0.0
183,84,@user @user @user @user #reliefph rt @user 2yo toddler stuck w/ 91 y.o.lola @ 2nd flr of hse. . ...,Specific Rescue,1.0
185,60,"@user rt @user #rescueph roldan family,gen segundo st. heroes hills. the mother has cancer. theyre trapped on their roof ...",Specific Rescue,1.0
196,23,"@user rt the following are in need of help and rescue: pgh, uerm, ust hospital. they need food. #rescueph","Specific Rescue, Food",1.0
197,17,"@user pgh, uerm, and ust hospital are flooded. supplies are running low. patients and staff need food and water. #rescueph","Specific Rescue, Food",1.0
199,1,@user ust hospital is running out of food and the generators are about to die @user #rescueph #reliefph,"Specific Rescue, Generator",1.0
200,127,@user gma kapuso foundation #operationbayanihan relief ops hotline: (02) 981-1950 #reliefph #24oras,Specific Rescue,0.0
205,85,"@user please send over food, water and blankets to trinity university of asia high school along e. rodriguez! thank you! #rescueph","Specific Rescue, Food",1.0
207,149,"@user @user napadala na raw red cross sa uerm, as tweeted by @user of @user babies'll be safe. #yay #rescueph",Foreign Language,0.0
209,109,@user #rescueph rt @user nasa bubong with 1 y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina c ...,Specific Rescue,1.0
213,29,@user the generator of the hospital just died pls rescue the people @ ust uerm &amp; pgh hospital @user #rescueph rt &amp; spread! help please,"Specific Rescue, Generator",1.0
216,34,"@user @user uerm hospital: brownout and icu patients on generator, generators about to die #rescueph please rt","Specific Rescue, Generator",1.0
217,12,!!!!! rt @user please rt!! ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph,"Specific Rescue, Generator",1.0
219,7,@user please retweet rt @user ust hospital's generator already died!!! please send some rescuers! @user #rescueph ...,"Specific Rescue, Generator",1.0
221,47,"@user #rescueph melyn pabustan w/ 3 kids 09175119505 purok 3, malanday, marikina; their house is near the national high school. ...",Specific Rescue,1.0
225,138,@user nasa bubong with 1y/o baby. charmaine dequit 64 langka st. bulelak malanday marikina city 09172551204 #rescueph,Specific Rescue,1.0
227,9,@user rt!! please help ust hospital. namatay na po ang generator nila. thank you po! #rescueph #rescueph @user @gmanews,"Specific Rescue, Generator",1.0
234,40,"for those students in #ust area who can't buy food due to the flood, please contact 09066958133. spread the word. #rescueph","Informational, Food, Logistics",0.0
244,26,"@user pgh hospital staff, patients need food and water. pgh is isolated by flood. #reliefph (via @user @upmanilaonline)","Specific Rescue, Food",1.0
250,114,@user pls rt: need rescue 65 st peter ave francisco subd veintereales valenzuela city! mother+child+pets #rescueph,Specific Rescue,1.0
256,107,"@user hospitals that need help (food &amp; water): ust hospital, uerm and philippine general hospital. #rescueph @user ","Specific Rescue, Food",1.0
261,16,thank you so much! rt@user sending love and worry to the philippines.  (will also send aid donation using #reliefph info....),"Good Wishes, Aid",0.0
268,55,"@user up-pgh update: pgh director says, pgh is under control. #reliefph (via @upmanilaonline)",Disaster Update,0.0
273,37,@user we need rescue here! we need to evacuate. address 212 m.h. del pilar st tinajeros malabon city #rescueph please help them.,Specific Rescue,1.0
279,125,"@user pls save dis family! #rescueph cp #09292440006 #277 matipuno st. pinalagad, malinta val. city. may tela puti malapit s ...",Specific Rescue,1.0
284,61,@user mayor jun binay also says that @user will also receive calls for rescue in the makati area #rescueph | via usec. ...,Informational,0.0
285,102,"@user pls help the people here in tua high school along e. rod they need food, water, clothes and blankets! #rescueph pls rt!","Food, Aid",1.0
286,105,@user emergency numbers list. #reliefph @user | via @gangbadoy,Informational,0.0
287,116,@user @user @user #rescueph i need help for 81yr old grandma stuck alone in her house victoria teeten tan  2309 unit#301 g. ...,Specific Rescue,1.0
295,10,"@user donate, share, and volunteer for the flood victims! #tulongkabataan #reliefph",Aid,0.0
311,33,#rescueph wow grabe na ang ulan ang lakas sobra !!!,Foreign Language,0.0
318,71,@user for those who want to volunteer in up chk gym 9am for the iskooperation. #reliefph,Volunteer,0.0
319,91,"@user rescue pls hed woodwork 338 gov pascual brgy catmon, malabon tapat ng gulayan near chinese temple 0917846655 #rescueph",Specific Rescue,1.0
322,128,"need help asap w/ 3 days old baby unit 1 pine cluster st., pineville subd. lawa meycauayan bulacan. 09166049812 #rescueph @rescue5ph",Specific Rescue,1.0
326,113,"daryll patco 54 thaddeus st. marietta romeo village, brgy. sta. lucia, pasig 09175695576 @user @user #rescueph #floodsph",Specific Rescue,0.0
333,25,"nid rescue 12 maginhawa pag-ibig town 3 brgy.san isidro,cainta hope the rescue reach dem asap.k-ann 09498958759 #rescueph",Specific Rescue,1.0
335,103,"@user #rescueph trapped no food water since 9am ellen,ph9, mariposa st midtown village cainta,09062424937","Specific Rescue, Food",1.0
336,13,@user frm t. sevilla: 4 persons needs #rescueph at the only house now that can be seen at 52 sanchez st. tinajeros malabon.,Specific Rescue,1.0
