tweet,urgency_level
"@user help victims of habagat. pls donate to the red cross. globe subs, please text red &lt;5,25,50,100 or 300&gt; to 2899 #rescueph",0
@user ust hospital is running out of food and the generators are about to die @user #rescueph #reliefph,1
@user updated emergency hotlines via @user #phalerts #rescueph | via @pcdspo,0
@user if you see animals or pets in need of rescue please contact peta. call 817-5292. #rescueph,0
"@user excuse me, bea bautista, 6 people + including baby 1223 maria christina st sampaloc manila 09151492803 #rescueph @user ",0
@user flooding chaos in philippine's capital: flood waters were rising in parts of the philippine capital on tuesday a... http:/ ...,0
"@user bacolod let's unite and support manila flood victims! you may drop your donations at victory robinsons, la salle, a ...",0
@user please retweet rt @user ust hospital's generator already died!!! please send some rescuers! @user #rescueph ...,1
just got home from a relief goods operation #holcimphils #prayforphilippines #floodph,0
@user rt!! please help ust hospital. namatay na po ang generator nila. thank you po! #rescueph #rescueph @user @gmanews,1
"@user donate, share, and volunteer for the flood victims! #tulongkabataan #reliefph",0
"@user to all who can donate money, ua&amp;p hopes to buy a 70k boat for our relief operations. #reliefph @user @user h ...",0
!!!!! rt @user please rt!! ust hospital's generator already died!!! please send some rescuers! @user #rescueph #reliefph,1
@user frm t. sevilla: 4 persons needs #rescueph at the only house now that can be seen at 52 sanchez st. tinajeros malabon.,1
"@user rt: 911! a house on hacienda avenue, hacienda heights, brgy concepcion 2, marikina is burning! #rescueph",1
please retweet! teenager stranded in his house 8 st catherine street provident vill mrkna #rescueph #prayforthephilippines,1
thank you so much! rt@user sending love and worry to the philippines.  (will also send aid donation using #reliefph info....),0
"@user pgh, uerm, and ust hospital are flooded. supplies are running low. patients and staff need food and water. #rescueph",1
@user @user rt pls. #rescueph our warehouse caretaker in roda compound concepcion uno brgy.tumana is alone on the  ...,1
@user rt pls @user #reliefph all ayala malls accepting donations 4 flood victims.just go to concierge booths in ayala malls ...,0
@user please retweet. help: uerm qc and de los santos medical center qc #reliefph #rescueph,0
@user people needing help may text @user at 09051456217 | 09293510068 | 09323608563. #rescueph #phalerts (via @pcdspo),0
@user carita manila accepting donations4 flood victims: acct# bpi 3063-5357-01/mb 175-3-17506954- /bdo 5600-45905/pnb 10-856-660001-7,0
"@user rt the following are in need of help and rescue: pgh, uerm, ust hospital. they need food. #rescueph",1
"@user list of suspension announcements for august 9, 2012  #phalerts #rescueph",0
"nid rescue 12 maginhawa pag-ibig town 3 brgy.san isidro,cainta hope the rescue reach dem asap.k-ann 09498958759 #rescueph",1
"@user pgh hospital staff, patients need food and water. pgh is isolated by flood. #reliefph (via @user @upmanilaonline)",1
"#reliefph #rescueph rt @user de los santos medical on e. rod w/o food, power, needs help -",1
@user @user @user bulacan flood victims they need help :( please rt this . thanks guys . #rescueph #reliefph,0
@user the generator of the hospital just died pls rescue the people @ ust uerm &amp; pgh hospital @user #rescueph rt &amp; spread! help please,1
@user animal rescue hotline: 817-5292. do not leave your pets behind. #rescueph,0
@user #rescueph daryll patco is on the roof of his house right now 54 thaddeus marietta romeo village brgy sta lucia pasig city 0 ...,0
@user man during  floods in manila moves dogs from roof of house to rescue boat.courtesy of helped by animals... ...,0
#rescueph wow grabe na ang ulan ang lakas sobra !!!,0
"@user @user uerm hospital: brownout and icu patients on generator, generators about to die #rescueph please rt",1
"@user aliza libunao, 9 adults +1 child, 635 g. araneta ave. tatalon, q.c. 09268752213 #rescueph stranded on 3rd flr, flood  ...",1
residents clean up muck-ridden manila after floods - times live,0
@user we need rescue here! we need to evacuate. address 212 m.h. del pilar st tinajeros malabon city #rescueph please help them.,1
@user @user please rescue tin masangcay and family 09159666718 leo st villarica subd cainta pls send help to cainta! #rescueph,1
"hashtags help coordinate relief efforts in philippine floods:   in the midst of widespread flooding in manila, w...",0
"for those students in #ust area who can't buy food due to the flood, please contact 09066958133. spread the word. #rescueph",0
how bad is this. i know olympics is on but surprised not on tv @user floods submerge most of philippine capital,0
@user all donations brought to lbc will be sent to ph red cross evacuation centers /via @user #reliefph,0
@user rt @user hashtags help coordinate relief efforts in philippine floods - #smem,0
"@user #reliefph #floodsph list: evacuation centers, relief operations in metro manila ",0
@user up manila admin &amp; officials will monitor rain&amp;flood situation til 4am. announcements will be made at the latest 5 ...,0
