tweet_id,tweet,"relevant_to? (R,P,O,N)","urgency_level","info_type"
2.31E+17,philippine floods worsen as death toll hits 14 in wake of gener #philippines #national,"P, O",2,warning
2.31E+17,@user philippine floods worsen as death toll hits 14 in wake of gener,"P, O",2,flood is getting worse
2.31E+17,philippine flood fatalities hit 23,"P, O",2,flood is getting worse
2.32E+17,"4 luzon dams release water; flood warning up: manila, philippines - four dams in luzon opened their gates sunday...","P, O",1,flood is getting worse
2.32E+17,@user pagasa 8:50pm advisory: yellow warning for metro manila. occasional heavy rains in next 3 hrs. floods possible.,"P, O",0,yellow manila
2.32E+17,@user pagasa 10pm advisory: green warning for metro manila. moderate-heavy rains in next 3 hrs. threat of floods in low-lying a ...,"P, O",1,green manila
2.32E+17,@user up manila admin &amp; officials will monitor rain&amp;flood situation til 4am. announcements will be made at the latest 5 ...,"P, O",1,keep a watch
2.32E+17,@user pagasa 4am advisory: green warning for metro manila. moderate-heavy rains in next 3 hrs. threat of floods in low-lying ar ...,"P, O",1,green manila
2.32E+17,@user [anc]  pagasa 4am advisory: green warning for metro manila. moderate-heavy rains in next 3 hrs. threat of floods... h ...,"P, O",1,green manila
2.32E+17,@user pagasa 5pm advisory: green warning for metro manila. heavy-intense rains in next 3 hrs. threat of floods in low-lying are ...,"P, O",1,green manila
2.32E+17,"@user pagasa 9pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods in low-lying areas, near rivers.","P, O",2,red manila
2.32E+17,"pagasa 9pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods in low-lying areas, near rivers.","P, O",2,red manila
2.33E+17,"if floods end up banging up my manila badly, considering running charity shirt drive. @user @user game?","P, O",1,potential charity
2.33E+17,"@user pagasa 11:30pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods in low-lying areas, near ...","P, O",2,red manila
2.33E+17,@user pagasa 11:30pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods ...,"P, O",2,red manila
2.33E+17,"pagasa 9pm advisory: red warning for metro manila. heavy-intense rains in next 3 hrs. floods in low-lying areas, near rivers. #tvdphfamily","P, O",2,red manila
2.33E+17,"@user the great manila flood of '72, as recalled by a us peace corps volunteer","P, O",2,recap of past
2.33E+17,"it's already aug 7, around 6 am manila time.. rains flood our country.. it's @davidarchie's day also, begin is out now!","P, O",0,famous floods
2.33E+17,"@user flood alert: san marcelino taft ayala, manila, as of 6:37am not passable to all types of vehicles | via @mmda","P, O",1,transport problem
2.33E+17,"@user folks, there's a hashtag #rescueph that has been established for rescue efforts. let's use this for better coordination.","P, O",1,rescue info
2.33E+17,hope mobile networks provide free calls today! many are in need! wag nyo na pagkakitaan ang bagyo! #rescueph #bayanihan #rescuephilippines,"P, O",1,need free phonecalls
2.33E+17,@user keep tweeting us so we can share updates with our followers. we're updating this list too. #rescueph,"R,P,O",0,update social media
2.33E+17,"@user use #rescueph hashtag to allow all media outlets to monitor tweets related to the floods, rescue operations. thanks!","R,P,O",0,update social media
2.33E+17,@user hey guys! use the hashtag #rescueph for rescue operations and flood monitoring!,"R,P,O",0,update social media
2.33E+17,philippine capital hit by floods,"R,P,O",0,flood at capital
2.33E+17,whats the latest on #manila floods situation? @mmda,"R,P,O",0,need an update
2.33E+17,#rescueph rescue ust hospital! oh pls. can't imagine those patients suffering from....ugh. :(,"R,P,O",0,urgent help needed
2.33E+17,#NAME?,,,
2.33E+17,@user #rescueph &gt; rt @user 74 yrs old lady trapped at 17 kapiligan st araneta subd qc. all grilled windows loc ...,"R,P,O",2,urgent help needed
2.33E+17,"philippine capital hit by floods: flooding caused by torrential rain paralyses parts of manila, forcing tens of ...","R,P,O",2,flood at capital
2.33E+17,@user rt @user google spreadsheet for #rescueph | via @mlq3,"R,P,O",0,update social media
2.33E+17,flooding chaos in philippine's capital: flood waters were rising in parts of the philippine capital on tuesday a...,"R,P,O",2,flood increasing
